cust,hist_size,n_relevant,rf_recs,pop_recs,rf_hits,pop_hits
12584,7,18,"['22627', '23243', '48138', '21533', '22844']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12597,3,12,"['POST', '20914', '20712', '22554', '22077']","['85123A', '22423', '85099B', '47566', '84879']",1,1
12598,6,37,"['23390', '23084', '23388', 'POST', '23389']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12610,4,9,"['POST', '22138', '22593', '23332', '22594']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12615,3,20,"['21481', 'POST', '23084', '22027', '22111']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12619,8,17,"['23309', 'POST', '84988', '23295', '23293']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12620,2,35,"['22578', '22577', '23206', '20725', '20728']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12621,18,73,"['21931', '22326', '22077', '22328', '22629']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12626,8,13,"['POST', '23203', '85099B', '23245', '20712']","['85123A', '22423', '85099B', '47566', '84879']",2,1
12627,6,29,"['21671', '21672', '21670', 'POST', '20685']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12628,2,13,"['POST', '23077', '22654', '23240', '23245']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12630,1,29,"['POST', '21733', '85231B', '21429', '23264']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12640,1,9,"['POST', '48138', '22193', '22624', '22726']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12642,2,12,"['22077', 'POST', '22734', '22908', '85049E']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12646,1,21,"['20677', '20675', '23328', '21240', '84997B']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12647,11,7,"['POST', '22505', '47559B', '21154', '22077']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12654,4,5,"['POST', '21559', '22556', '22138', '22720']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12656,4,28,"['POST', '23203', '22726', '22727', '85099B']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12657,2,9,"['22697', 'POST', '82484', '23209', '22423']","['85123A', '22423', '85099B', '47566', '84879']",2,1
12662,8,37,"['POST', '22326', '20712', '22328', '20719']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12664,7,4,"['84997C', '84997A', '84997D', 'POST', '22467']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12668,3,38,"['47567B', '22895', '20914', '37448', '22649']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12670,4,14,"['POST', '23084', '23349', '23351', '22966']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12673,1,19,"['22139', '22138', '22554', '23245', '85099B']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12676,5,8,"['POST', '22668', '21380', '22435', '22090']","['85123A', '22423', '85099B', '47566', '84879']",1,0
12680,3,15,"['22728', '22629', '22726', '22630', '22727']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12681,19,58,"['22555', '21559', '22352', '21080', '23084']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12682,27,54,"['23203', '22556', '15056BL', '23209', '23298']","['85123A', '22423', '85099B', '47566', '84879']",5,3
12683,13,34,"['21086', '21094', '21987', 'POST', '22437']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12684,5,34,"['22553', '22992', 'POST', '22557', '22620']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12685,5,22,"['POST', '22727', '22728', '22726', '23209']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12689,1,38,"['23206', '22551', '22554', '22898', '22382']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12691,5,2,"['POST', '21731', '22467', '22083', '23254']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12695,3,3,"['48138', '23284', '23355', '23245', '21955']","['85123A', '22423', '85099B', '47566', '84879']",1,0
12700,3,57,"['22556', '22557', '22554', '22551', '22553']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12704,5,11,"['POST', '21731', '23084', '23322', '15056P']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12705,6,47,"['POST', '21481', '23355', '23245', '23284']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12709,14,18,"['21086', '21094', '20979', '21080', '22961']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12714,4,68,"['POST', '23209', '23084', '22382', '20727']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12716,1,24,"['POST', '47566', '22328', '21559', '21706']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12719,1,21,"['22111', 'POST', '21791', '21790', '21892']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12720,21,57,"['POST', '22144', '23294', '22326', '22961']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12723,2,28,"['22751', '22750', '22971', '22809', '21471']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12724,3,8,"['POST', '23084', '23346', '23240', '20712']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12726,6,36,"['21094', '22531', '21086', '22620', '21987']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12727,6,23,"['POST', '22557', '21559', '22553', '23084']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12731,11,22,"['20682', '22745', '84879', '20725', '22748']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12747,9,14,"['82482', '82484', '82494L', '84879', '21754']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12748,167,850,"['47566', '85099B', '22382', '21080', '22993']","['85123A', '22423', '85099B', '47566', '84879']",4,4
12749,3,67,"['23240', '22722', '82486', '82483', '85066']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12753,5,31,"['21216', '21218', '23240', '21259', '21217']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12757,11,17,"['22557', '22554', '22551', '22556', '22113']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12766,6,22,"['22114', '22138', '21485', 'POST', '22139']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12775,4,14,"['POST', '84406B', '35961', '22296', '21390']","['85123A', '22423', '85099B', '47566', '84879']",1,0
12778,5,8,"['POST', '22421', '20719', '21108', '20723']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12782,4,14,"['POST', '22139', '22355', '23209', '22620']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12783,5,17,"['POST', '23284', '23108', '22111', '82484']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12787,2,4,"['23201', 'POST', '22077', '22114', '23344']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12798,2,1,"['23084', '22489', '21918', '22491', '85178']","['85123A', '22423', '85099B', '47566', '84879']",1,0
12820,3,12,"['22086', '23313', '84946', '23245', '23240']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12826,6,7,"['22086', '21481', '21479', '21930', '22910']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12827,2,5,"['22139', '22138', '22617', '22907', '22722']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12828,4,18,"['22111', '23355', '22865', '22866', '22138']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12839,11,61,"['21232', '22197', '23204', '20719', '21231']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12841,21,51,"['47566', '79321', '15036', '23298', '23264']","['85123A', '22423', '85099B', '47566', '84879']",4,3
12856,4,70,"['23266', '22551', '23263', '22554', '22301']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12865,1,37,"['22846', '22847', '23290', '23389', '23291']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12867,6,103,"['23208', '23209', '22411', '22382', '20726']","['85123A', '22423', '85099B', '47566', '84879']",4,2
12877,10,67,"['20723', '22355', '22661', '20724', '20719']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12882,1,8,"['23284', '20685', '48187', '48184', '23344']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12883,1,23,"['22111', '23284', '20914', '20685', '22112']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12901,24,9,"['21787', '22659', '21915', '22970', '22988']","['85123A', '22423', '85099B', '47566', '84879']",1,0
12904,1,35,"['23147', '23146', '21135', '23148', '35961']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12906,2,16,"['22970', '22900', '23309', '22992', '21731']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12910,6,8,"['20969', '20970', '22568', '22271', '23209']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12912,1,12,"['23177', '23012', '23084', '23013', '23014']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12913,3,28,"['22910', '22086', '84946', '21754', '22469']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12919,4,15,"['35970', '22621', '22457', '23493', '23109']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12921,33,68,"['23201', '22382', '22386', '23199', '84997D']","['85123A', '22423', '85099B', '47566', '84879']",5,2
12925,1,22,"['23192', '21731', '23320', '21914', '22759']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12931,13,5,"['22197', '21731', '23203', '23215', '22991']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12933,2,57,"['22910', '22144', '23493', '23318', '23319']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12935,4,35,"['22558', '20971', '22961', '23310', '22960']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12936,1,27,"['22086', '22910', '22557', '84836', '23300']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12937,3,60,"['21984', '21986', '22557', '22555', '22457']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12948,6,10,"['22086', '22144', '22734', '23313', '22141']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12951,5,18,"['22379', '23203', '22144', '23318', '21621']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12952,3,18,"['22112', '22722', '48138', '22624', '23243']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12955,8,36,"['22620', '22621', '22560', '21791', '22561']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12957,6,75,"['22326', '22865', '23240', '22434', '22328']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12962,1,5,"['23119', '23291', '23292', '23084', '22629']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12963,3,50,"['23344', '22663', '22114', '23084', '85150']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12970,2,108,"['22097', '23192', '23345', '23493', '23346']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12971,76,26,"['22499', '22593', '22464', '84988', '22594']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12989,12,26,"['21137', '22301', '23284', '22041', '48138']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12991,1,9,"['22197', '22086', '21912', '21888', '22910']","['85123A', '22423', '85099B', '47566', '84879']",0,0
12993,3,3,"['21790', '22910', '22086', '20725', '22384']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12994,2,20,"['85053', '22424', '48187', '22960', '22429']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12997,3,10,"['21231', '22457', '21232', '22178', '85123A']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13001,11,33,"['82494L', '15056N', '21155', '21754', '22087']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13004,16,44,"['21790', '23035', '84580', '22952', '22851']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13012,5,27,"['23298', '22413', '22993', '22139', '82484']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13013,11,17,"['22835', '22910', '84029G', '22083', '22114']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13014,8,9,"['22423', '37450', '21257', '22222', '21259']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13018,24,42,"['23201', '22150', '22619', '84946', '22964']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13021,7,42,"['21181', '22411', '22835', '23355', '20972']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13026,4,14,"['15036', '21992', '72800E', '17003', '22753']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13028,1,21,"['21933', '85183B', '85183A', '22384', '85099B']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13030,1,28,"['22900', '21621', '23084', '84946', '21931']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13040,1,22,"['22720', '22909', '20971', '22910', '84879']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13048,3,30,"['20725', '22384', '21931', '22383', '20728']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13050,15,37,"['82494L', '22720', '22423', '20914', '22722']","['85123A', '22423', '85099B', '47566', '84879']",1,2
13058,2,2,"['23313', '47590B', '47590A', '23298', '22776']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13064,3,20,"['82482', '82483', '82494L', '20828', '10135']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13066,1,20,"['21156', '82494L', '22457', '84792', '82580']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13068,1,1,"['85099C', '22197', '20685', '22423', '23284']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13069,22,41,"['22997', '22996', '22995', '23202', '20676']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13077,3,49,"['22621', '21791', '21790', '22867', '22834']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13078,22,26,"['22568', '22728', '22109', '82582', '21523']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13079,3,2,"['22776', '21034', '22577', '23145', '23354']","['85123A', '22423', '85099B', '47566', '84879']",0,0
13081,10,63,"['21733', '22966', '23207', '20963', '22699']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13083,1,4,"['22779', '22752', '22780', '22847', '22754']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13089,87,134,"['23209', '82482', '22077', '22630', '22382']","['85123A', '22423', '85099B', '47566', '84879']",5,3
13090,12,14,"['22617', '22139', '22622', '22138', '22178']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13094,11,2,"['84946', '22791', '85123A', '22174', '22734']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13098,23,47,"['20914', '22382', '22384', '20725', '23208']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13102,21,27,"['22630', '22629', '22197', '22659', '22558']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13104,5,4,"['21137', '35970', '23196', '22041', '23188']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13113,22,8,"['47566', '21430', '22087', '22457', '21217']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13115,3,22,"['20725', '23209', '22384', '20727', '22383']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13117,7,10,"['22457', '22578', '84879', '47566', '22579']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13118,3,31,"['20728', '22382', '22384', '20727', '22383']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13126,7,30,"['82494L', '82482', '23393', '22227', '21232']","['85123A', '22423', '85099B', '47566', '84879']",0,0
13131,2,13,"['22326', '20725', '23206', '20726', '22328']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13137,7,103,"['21672', '21668', '22632', '23439', '84987']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13138,5,8,"['22568', '20970', '23126', '20969', '21259']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13139,6,7,"['23301', '23084', '23200', '20685', '23284']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13147,3,1,"['79321', '22433', '22111', '22171', '22469']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13149,3,22,"['22488', '22578', '22457', '22577', '82484']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13159,3,23,"['23319', '22621', '22578', '23080', '22595']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13167,3,11,"['82483', '82486', '17003', '23298', '22178']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13171,2,10,"['23263', '22577', '23266', '23265', '22578']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13173,1,20,"['21533', '85174', '20679', '22212', '85123A']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13174,2,68,"['22111', '22867', '22910', '21485', '22866']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13178,10,11,"['22328', '23084', '22326', '20728', '22382']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13183,8,6,"['85152', '21166', '82484', '21175', '21181']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13184,9,21,"['23298', '23333', '47566', '23329', '23332']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13189,1,11,"['22065', '20668', '20996', '35471D', '22544']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13196,2,13,"['23351', '23349', '23350', '21506', '22139']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13198,5,24,"['21731', '20723', '22910', '84375', '21833']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13199,29,19,"['23084', '84945', '84946', '23188', '22557']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13200,2,11,"['22792', '84946', '82482', '22727', '22639']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13203,3,12,"['23100', '22835', '22178', '23101', '84347']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13207,1,3,"['15056N', '15036', '72741', '85175', '15044D']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13211,2,10,"['21498', '23231', '22086', '21495', '22083']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13212,2,84,"['22835', '23351', '23032', '23284', '23350']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13225,6,7,"['21175', '22386', '21181', '21929', '48187']","['85123A', '22423', '85099B', '47566', '84879']",0,0
13230,13,108,"['23329', '23332', '23343', '23264', '23333']","['85123A', '22423', '85099B', '47566', '84879']",4,2
13232,5,36,"['20914', '22666', '21216', '20754', '22844']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13236,1,15,"['23129', '23130', '22574', '22945', '22573']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13238,2,14,"['85099F', '23202', '23199', '22386', '23203']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13246,5,24,"['23343', '22866', '21933', '22909', '21932']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13247,2,4,"['22898', '22138', '22367', '22899', '23245']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13255,1,7,"['23312', '23215', '22768', '22767', '22839']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13258,1,21,"['85123A', '22464', '21755', '21754', '22784']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13263,31,101,"['85152', '82482', '23266', '23503', '22079']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13266,11,15,"['23286', '23167', '20992', '22418', '23198']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13267,17,24,"['22726', '82494L', '82484', '22867', '82486']","['85123A', '22423', '85099B', '47566', '84879']",3,2
13268,8,38,"['21175', '22219', '21232', '21877', '21429']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13269,11,44,"['22629', '85099B', '82494L', '82482', '22170']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13277,2,4,"['20963', '20961', '20726', '22331', '23206']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13282,2,15,"['22624', '22730', '22728', '22727', '22193']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13285,3,50,"['23209', '23204', '20724', '20727', '23203']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13297,1,21,"['22835', '22114', '22111', '23355', '21754']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13305,8,21,"['23263', '22178', '20972', '21523', '23284']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13308,2,17,"['22139', '22568', '22149', '22750', '21889']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13309,4,16,"['23206', '22383', '23310', '22179', '16161U']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13310,2,20,"['84879', '85123A', '21733', '47566', '23311']","['85123A', '22423', '85099B', '47566', '84879']",5,3
13311,1,2,"['71477', '22086', '21380', '23077', '21755']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13313,4,14,"['85099B', '22302', '22303', '22386', '23202']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13314,2,15,"['21216', '22720', '23108', '21534', '22138']","['85123A', '22423', '85099B', '47566', '84879']",0,0
13318,1,5,"['23084', '22941', '23280', '20750', '22549']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13319,24,21,"['22178', '22726', '84879', '22090', '20914']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13323,2,6,"['21485', '22114', '21484', '23355', '84029E']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13350,1,8,"['22697', '22699', '23245', '22423', 'C2']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13362,3,34,"['23355', '22274', '22112', '84030E', '22111']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13363,1,21,"['23493', '22835', '23355', '84347', '22734']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13379,2,37,"['23100', '22596', '35970', '22906', '23101']","['85123A', '22423', '85099B', '47566', '84879']",4,0
